t,status
1780280700.0349,4
1780280700.0359,4
1780280700.0369,4
1780280700.038,4
1780280700.039,4
1780280700.04,4
1780280700.041,4
1780280700.0419,4
1780280700.0429,4
1780280700.0439,4
1780280700.0449,4
1780280700.046,4
1780280700.047,4
1780280700.048,4
1780280700.049,4
1780280700.05,4
1780280700.0509,4
1780280700.0519,4
1780280700.0529,4
1780280700.0539,4
1780280700.055,4
1780280700.056,4
1780280700.057,4
1780280700.058,4
1780280700.0589,4
1780280700.0599,4
1780280700.0609,4
1780280700.0619,4
1780280700.063,4
1780280700.064,4
1780280700.065,4
1780280700.066,4
1780280700.0669,4
1780280700.0679,4
1780280700.0689,4
1780280700.0699,4
1780280700.071,4
1780280700.072,4
1780280700.073,4
1780280700.074,4
1780280700.075,4
1780280700.0759,4
1780280700.0769,4
1780280700.0779,4
1780280700.0789,4
1780280700.08,4
1780280700.081,4
1780280700.082,4
1780280700.083,4
1780280700.0839,4
1780280700.0849,4
1780280700.0859,4
1780280700.0869,4
1780280700.088,4
1780280700.089,4
1780280700.09,4
1780280700.091,4
1780280700.0919,4
1780280700.0929,4
1780280700.0939,4
1780280700.0949,4
1780280700.096,4
1780280700.097,4
1780280700.098,4
1780280700.099,4
1780280701.0,4
1780280701.0009,4
1780280701.0019,4
1780280701.0029,4
1780280701.0039,4
1780280701.005,4
1780280701.006,4
1780280701.007,4
1780280701.008,4
1780280701.0089,4
1780280701.0099,4
1780280701.0109,4
1780280701.0119,4
1780280701.013,4
1780280701.014,4
1780280701.015,4
1780280701.016,4
1780280701.0169,4
1780280701.0179,4
1780280701.0189,4
1780280701.0199,4
1780280701.021,4
1780280701.022,4
1780280701.023,4
1780280701.024,4
1780280701.025,4
1780280701.0259,4
1780280701.0269,4
1780280701.0279,4
1780280701.0289,4
1780280701.03,4
1780280701.031,4
1780280701.032,4
1780280701.033,4
1780280701.0339,4
1780280701.0349,4
1780280701.0359,4
1780280701.0369,4
1780280701.038,4
1780280701.039,4
1780280701.04,4
1780280701.041,4
1780280701.0419,4
1780280701.0429,4
1780280701.0439,4
1780280701.0449,4
1780280701.046,4
1780280701.047,4
1780280701.048,4
1780280701.049,4
1780280701.05,4
1780280701.0509,4
1780280701.0519,4
1780280701.0529,4
1780280701.0539,4
1780280701.055,4
1780280701.056,4
1780280701.057,4
1780280701.058,4
1780280701.0589,4
1780280701.0599,4
1780280701.0609,4
1780280701.0619,4
1780280701.063,4
1780280701.064,4
1780280701.065,4
1780280701.066,4
1780280701.0669,4
1780280701.0679,4
1780280701.0689,4
1780280701.0699,4
1780280701.071,4
1780280701.072,4
1780280701.073,4
1780280701.074,4
1780280701.075,4
1780280701.0759,4
1780280701.0769,4
1780280701.0779,4
1780280701.0789,4
1780280701.08,4
1780280701.081,4
1780280701.082,4
1780280701.083,4
1780280701.0839,4
1780280701.0849,4
1780280701.0859,4
1780280701.0869,4
1780280701.088,4
1780280701.089,4
1780280701.09,4
1780280701.091,4
1780280701.0919,4
1780280701.0929,4
1780280701.0939,4
1780280701.0949,4
1780280701.096,4
1780280701.097,4
1780280701.098,4
1780280701.099,4
1780280702.0,4
1780280702.0009,4
1780280702.0019,4
1780280702.0029,4
1780280702.0039,4
1780280702.005,4
1780280702.006,4
1780280702.007,4
1780280702.008,4
1780280702.0089,4
1780280702.0099,4
1780280702.0109,4
1780280702.0119,4
1780280702.013,4
1780280702.014,4
1780280702.015,4
1780280702.016,4
1780280702.0169,4
1780280702.0179,4
1780280702.0189,4
1780280702.0199,4
1780280702.021,4
1780280702.022,4
1780280702.023,4
1780280702.024,4
1780280702.025,4
1780280702.0259,4
1780280702.0269,4
